                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.1139,                 1.0397,                 1.1122,                 1.0061,                0.99315,                      1,                  0.995,                0.63067,                0.99315,                      1,                  0.995,                0.71431,                 1.2061,                 1.4233,                 1.1045,                 1.0232,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.1104,                  1.186,                 1.0445,                 1.0044,                0.99108,                      1,                  0.995,                0.73438,                0.99108,                      1,                  0.995,                0.68673,                 1.2332,                 1.7914,                 1.1928,                 1.0001,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.2255,                 1.2315,                 1.0997,                 1.0626,                0.98426,                      1,                  0.995,                0.63708,                0.98426,                      1,                  0.995,                 0.7377,                 1.2636,                 1.4333,                 1.3967,                0.99791,               0.001505,               0.001505,               0.001505
                     27,                 1.1572,                 1.1361,                 1.1887,                 1.0297,                0.99311,                      1,                  0.995,                0.74333,                0.99311,                      1,                  0.995,                0.69922,                 1.1477,                 1.4582,                 1.2966,                0.94239,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.2144,                 1.2552,                 1.1035,                 1.0497,                0.99199,                      1,                  0.995,                0.62832,                0.99199,                      1,                  0.995,                0.68491,                 1.1404,                  1.567,                 1.2434,                0.94115,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.1166,                 1.1885,                 1.0796,                 1.0015,                0.99248,                      1,                  0.995,                0.65164,                0.99248,                      1,                  0.995,                 0.7097,                 1.3177,                 1.4055,                 1.0944,                 0.9891,              0.0014456,              0.0014456,              0.0014456
                     30,                  1.101,                 1.1344,                 1.0262,                0.99986,                0.99389,                      1,                  0.995,                0.63077,                0.99389,                      1,                  0.995,                0.71869,                 1.4225,                  1.434,                 1.2454,                  1.052,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.1604,                 1.1948,                 1.0546,                 1.0125,                0.99239,                      1,                  0.995,                 0.5952,                0.99239,                      1,                  0.995,                0.73653,                 1.3894,                 1.4535,                 1.4043,                 1.0497,               0.001406,               0.001406,               0.001406
                     32,                 1.0352,                 1.0408,                 1.0634,                0.99542,                0.99203,                      1,                  0.995,                0.65198,                0.99203,                      1,                  0.995,                0.74776,                 1.2432,                 1.3753,                 1.5492,                 1.0224,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.0447,                 1.1347,                 1.1206,                 1.0384,                0.99005,                      1,                  0.995,                0.67374,                0.99005,                      1,                  0.995,                0.74544,                 1.1908,                 1.3129,                 1.2942,                 1.0002,              0.0013664,              0.0013664,              0.0013664
